Year,borough,geography,geography_id,Mean (mcg per cubic meter),10th Percentile (mcg per cubic meter),90th Percentile (mcg per cubic meter),
Summer 2012,Brooklyn, Park Slope and Carroll Gardens (CD6),306,11.1 ,10.3 ,12.1 ,
Summer 2013,Brooklyn, Park Slope and Carroll Gardens (CD6),306,10.9 ,10.1 ,11.8 ,
Summer 2014,Brooklyn, Park Slope and Carroll Gardens (CD6),306,9.9 ,9.0 ,10.9 ,
Winter 2008-09,Brooklyn, Park Slope and Carroll Gardens (CD6),306,14.1 ,13.2 ,15.0 ,
Winter 2009-10,Brooklyn, Park Slope and Carroll Gardens (CD6),306,10.7 ,9.8 ,11.6 ,
Winter 2010-11,Brooklyn, Park Slope and Carroll Gardens (CD6),306,13.9 ,13.1 ,14.9 ,
Winter 2011-12,Brooklyn, Park Slope and Carroll Gardens (CD6),306,10.5 ,9.6 ,11.4 ,
Winter 2012-13,Brooklyn, Park Slope and Carroll Gardens (CD6),306,11.1 ,10.2 ,12.0 ,
Winter 2013-14,Brooklyn, Park Slope and Carroll Gardens (CD6),306,12.9 ,12.1 ,13.9 ,
Summer 2009,Bronx, Parkchester and Soundview (CD9),209,10.6 ,9.8 ,11.4 ,
Summer 2010,Bronx, Parkchester and Soundview (CD9),209,12.0 ,11.2 ,12.8 ,
Summer 2011,Bronx, Parkchester and Soundview (CD9),209,11.6 ,10.8 ,12.3 ,
Summer 2012,Bronx, Parkchester and Soundview (CD9),209,10.4 ,9.6 ,11.2 ,
Summer 2013,Bronx, Parkchester and Soundview (CD9),209,10.4 ,9.5 ,11.1 ,
Summer 2014,Bronx, Parkchester and Soundview (CD9),209,8.6 ,7.8 ,9.4 ,
Winter 2008-09,Bronx, Parkchester and Soundview (CD9),209,13.7 ,12.6 ,14.6 ,
Winter 2009-10,Bronx, Parkchester and Soundview (CD9),209,10.6 ,9.4 ,11.6 ,
Winter 2010-11,Bronx, Parkchester and Soundview (CD9),209,13.6 ,12.7 ,14.4 ,
Winter 2011-12,Bronx, Parkchester and Soundview (CD9),209,9.9 ,9.0 ,10.7 ,
Winter 2012-13,Bronx, Parkchester and Soundview (CD9),209,10.9 ,9.9 ,11.8 ,
Winter 2013-14,Bronx, Parkchester and Soundview (CD9),209,12.3 ,11.3 ,13.1 ,
Summer 2009,Queens, Queens Village (CD13),413,9.7 ,9.4 ,10.1 ,
Summer 2010,Queens, Queens Village (CD13),413,11.0 ,10.7 ,11.4 ,
Summer 2011,Queens, Queens Village (CD13),413,10.8 ,10.6 ,11.2 ,
Summer 2012,Queens, Queens Village (CD13),413,9.6 ,9.4 ,10.0 ,
Summer 2013,Queens, Queens Village (CD13),413,9.8 ,9.5 ,10.1 ,
Summer 2014,Queens, Queens Village (CD13),413,7.7 ,7.5 ,8.1 ,
Winter 2008-09,Queens, Queens Village (CD13),413,11.7 ,11.3 ,12.3 ,
Winter 2009-10,Queens, Queens Village (CD13),413,8.9 ,8.4 ,9.4 ,
Winter 2010-11,Queens, Queens Village (CD13),413,11.4 ,11.0 ,11.8 ,
Winter 2011-12,Queens, Queens Village (CD13),413,8.3 ,7.8 ,8.7 ,
Winter 2012-13,Queens, Queens Village (CD13),413,9.3 ,8.9 ,9.8 ,
Winter 2013-14,Queens, Queens Village (CD13),413,10.3 ,10.0 ,10.8 ,
Summer 2009,Queens, Rego Park and Forest Hills (CD6),406,10.7 ,10.2 ,11.4 ,
Summer 2010,Queens, Rego Park and Forest Hills (CD6),406,11.8 ,11.3 ,12.5 ,
Summer 2011,Queens, Rego Park and Forest Hills (CD6),406,11.5 ,11.0 ,12.2 ,
Summer 2012,Queens, Rego Park and Forest Hills (CD6),406,10.3 ,9.8 ,11.0 ,
Summer 2013,Queens, Rego Park and Forest Hills (CD6),406,10.3 ,9.9 ,11.0 ,
Summer 2014,Queens, Rego Park and Forest Hills (CD6),406,8.5 ,8.0 ,9.2 ,
Winter 2008-09,Queens, Rego Park and Forest Hills (CD6),406,13.5 ,13.0 ,14.2 ,
Winter 2009-10,Queens, Rego Park and Forest Hills (CD6),406,10.1 ,9.6 ,10.8 ,
Winter 2010-11,Queens, Rego Park and Forest Hills (CD6),406,12.4 ,11.9 ,13.1 ,
Winter 2011-12,Queens, Rego Park and Forest Hills (CD6),406,9.2 ,8.7 ,9.9 ,
Winter 2012-13,Queens, Rego Park and Forest Hills (CD6),406,10.3 ,9.7 ,11.0 ,
Winter 2013-14,Queens, Rego Park and Forest Hills (CD6),406,11.7 ,11.2 ,12.5 ,
Summer 2009,Queens, Ridgewood and Maspeth (CD5),405,10.8 ,10.0 ,12.4 ,
Summer 2010,Queens, Ridgewood and Maspeth (CD5),405,12.1 ,11.2 ,13.6 ,
Summer 2011,Queens, Ridgewood and Maspeth (CD5),405,11.7 ,10.8 ,13.2 ,
Summer 2012,Queens, Ridgewood and Maspeth (CD5),405,10.5 ,9.6 ,12.0 ,
Summer 2013,Queens, Ridgewood and Maspeth (CD5),405,10.4 ,9.6 ,11.9 ,
Summer 2014,Queens, Ridgewood and Maspeth (CD5),405,8.9 ,8.0 ,10.5 ,
Winter 2008-09,Queens, Ridgewood and Maspeth (CD5),405,13.4 ,12.7 ,14.8 ,
Winter 2009-10,Queens, Ridgewood and Maspeth (CD5),405,9.8 ,9.0 ,11.0 ,
Winter 2010-11,Queens, Ridgewood and Maspeth (CD5),405,12.6 ,11.7 ,14.2 ,
Winter 2011-12,Queens, Ridgewood and Maspeth (CD5),405,9.2 ,8.3 ,10.7 ,
Winter 2012-13,Queens, Ridgewood and Maspeth (CD5),405,10.3 ,9.5 ,11.9 ,
Winter 2013-14,Queens, Ridgewood and Maspeth (CD5),405,12.0 ,11.1 ,13.7 ,
Summer 2009,Bronx, Riverdale and Fieldston (CD8),208,10.4 ,9.8 ,11.2 ,
Summer 2010,Bronx, Riverdale and Fieldston (CD8),208,11.8 ,11.4 ,12.5 ,
Summer 2011,Bronx, Riverdale and Fieldston (CD8),208,11.3 ,10.8 ,12.0 ,
Summer 2012,Bronx, Riverdale and Fieldston (CD8),208,10.1 ,9.7 ,10.9 ,
Summer 2013,Bronx, Riverdale and Fieldston (CD8),208,10.0 ,9.5 ,10.8 ,
Summer 2014,Bronx, Riverdale and Fieldston (CD8),208,8.7 ,8.3 ,9.3 ,
Winter 2008-09,Bronx, Riverdale and Fieldston (CD8),208,14.7 ,14.2 ,15.4 ,
Winter 2009-10,Bronx, Riverdale and Fieldston (CD8),208,11.5 ,10.8 ,12.4 ,
Winter 2010-11,Bronx, Riverdale and Fieldston (CD8),208,14.1 ,13.7 ,14.7 ,
Winter 2011-12,Bronx, Riverdale and Fieldston (CD8),208,9.9 ,9.2 ,10.7 ,
Winter 2012-13,Bronx, Riverdale and Fieldston (CD8),208,11.3 ,10.8 ,12.1 ,
Winter 2013-14,Bronx, Riverdale and Fieldston (CD8),208,12.4 ,12.0 ,13.2 ,
Summer 2009,Queens, Rockaway and Broad Channel (CD14),414,9.6 ,9.5 ,9.7 ,
Summer 2010,Queens, Rockaway and Broad Channel (CD14),414,10.7 ,10.6 ,10.8 ,
Summer 2011,Queens, Rockaway and Broad Channel (CD14),414,10.6 ,10.5 ,10.7 ,
Summer 2012,Queens, Rockaway and Broad Channel (CD14),414,9.4 ,9.3 ,9.5 ,
Summer 2013,Queens, Rockaway and Broad Channel (CD14),414,9.4 ,9.2 ,9.6 ,
Summer 2014,Queens, Rockaway and Broad Channel (CD14),414,7.4 ,7.2 ,7.5 ,
Winter 2008-09,Queens, Rockaway and Broad Channel (CD14),414,10.2 ,9.5 ,10.5 ,
Winter 2009-10,Queens, Rockaway and Broad Channel (CD14),414,7.9 ,7.6 ,8.2 ,
Winter 2010-11,Queens, Rockaway and Broad Channel (CD14),414,10.3 ,10.2 ,10.4 ,
Winter 2011-12,Queens, Rockaway and Broad Channel (CD14),414,6.7 ,6.6 ,6.9 ,
Winter 2012-13,Queens, Rockaway and Broad Channel (CD14),414,9.2 ,9.1 ,9.4 ,
Winter 2013-14,Queens, Rockaway and Broad Channel (CD14),414,9.9 ,9.7 ,10.0 ,
Summer 2009,Brooklyn, Sheepshead Bay (CD15),315,10.4 ,10.0 ,10.8 ,
Summer 2010,Brooklyn, Sheepshead Bay (CD15),315,11.4 ,11.0 ,11.7 ,
Summer 2011,Brooklyn, Sheepshead Bay (CD15),315,11.1 ,10.8 ,11.4 ,
Summer 2012,Brooklyn, Sheepshead Bay (CD15),315,9.9 ,9.6 ,10.3 ,
Summer 2013,Brooklyn, Sheepshead Bay (CD15),315,9.8 ,9.4 ,10.1 ,
Summer 2014,Brooklyn, Sheepshead Bay (CD15),315,8.0 ,7.6 ,8.4 ,
Winter 2008-09,Brooklyn, Sheepshead Bay (CD15),315,11.2 ,10.5 ,11.9 ,
Winter 2009-10,Brooklyn, Sheepshead Bay (CD15),315,9.1 ,8.4 ,9.7 ,
Winter 2010-11,Brooklyn, Sheepshead Bay (CD15),315,11.6 ,11.1 ,12.1 ,
Winter 2011-12,Brooklyn, Sheepshead Bay (CD15),315,8.0 ,7.4 ,8.6 ,
Winter 2012-13,Brooklyn, Sheepshead Bay (CD15),315,9.8 ,9.4 ,10.2 ,
Winter 2013-14,Brooklyn, Sheepshead Bay (CD15),315,11.0 ,10.5 ,11.5 ,
Summer 2009,Staten Island, South Beach and Willowbrook (CD2),502,10.6 ,10.1 ,11.3 ,
Summer 2010,Staten Island, South Beach and Willowbrook (CD2),502,11.5 ,11.1 ,12.3 ,
Summer 2011,Staten Island, South Beach and Willowbrook (CD2),502,11.2 ,10.7 ,11.9 ,
Summer 2012,Staten Island, South Beach and Willowbrook (CD2),502,10.0 ,9.5 ,10.7 ,
Summer 2013,Staten Island, South Beach and Willowbrook (CD2),502,9.4 ,9.0 ,10.1 ,
Summer 2014,Staten Island, South Beach and Willowbrook (CD2),502,7.9 ,7.4 ,8.7 ,
Winter 2008-09,Staten Island, South Beach and Willowbrook (CD2),502,11.8 ,10.9 ,13.1 ,
Winter 2009-10,Staten Island, South Beach and Willowbrook (CD2),502,9.0 ,8.4 ,9.9 ,
Winter 2010-11,Staten Island, South Beach and Willowbrook (CD2),502,11.7 ,11.1 ,12.6 ,
Winter 2011-12,Staten Island, South Beach and Willowbrook (CD2),502,8.2 ,7.6 ,9.3 ,
Winter 2012-13,Staten Island, South Beach and Willowbrook (CD2),502,9.8 ,9.2 ,10.6 ,
Winter 2013-14,Staten Island, South Beach and Willowbrook (CD2),502,11.8 ,11.3 ,12.8 ,
Summer 2009,Brooklyn, South Crown Heights and Lefferts Gardens (CD9),309,10.8 ,10.6 ,11.0 ,
Summer 2010,Brooklyn, South Crown Heights and Lefferts Gardens (CD9),309,11.8 ,11.6 ,12.0 ,
Summer 2011,Brooklyn, South Crown Heights and Lefferts Gardens (CD9),309,11.4 ,11.2 ,11.6 ,
Summer 2012,Brooklyn, South Crown Heights and Lefferts Gardens (CD9),309,10.3 ,10.1 ,10.4 ,
Summer 2013,Brooklyn, South Crown Heights and Lefferts Gardens (CD9),309,10.2 ,10.0 ,10.3 ,
Summer 2014,Brooklyn, South Crown Heights and Lefferts Gardens (CD9),309,8.8 ,8.6 ,9.0 ,
Winter 2008-09,Brooklyn, South Crown Heights and Lefferts Gardens (CD9),309,13.5 ,13.2 ,13.7 ,
Winter 2009-10,Brooklyn, South Crown Heights and Lefferts Gardens (CD9),309,10.4 ,10.2 ,10.6 ,
Winter 2010-11,Brooklyn, South Crown Heights and Lefferts Gardens (CD9),309,12.8 ,12.5 ,13.0 ,
Winter 2011-12,Brooklyn, South Crown Heights and Lefferts Gardens (CD9),309,9.5 ,9.2 ,9.7 ,
Winter 2012-13,Brooklyn, South Crown Heights and Lefferts Gardens (CD9),309,10.3 ,10.1 ,10.4 ,
Winter 2013-14,Brooklyn, South Crown Heights and Lefferts Gardens (CD9),309,11.8 ,11.6 ,12.0 ,
Summer 2009,Queens, South Ozone Park and Howard Beach (CD10),410,10.0 ,9.7 ,10.4 ,
Summer 2010,Queens, South Ozone Park and Howard Beach (CD10),410,11.2 ,10.9 ,11.6 ,
Summer 2011,Queens, South Ozone Park and Howard Beach (CD10),410,10.9 ,10.6 ,11.3 ,
Summer 2012,Queens, South Ozone Park and Howard Beach (CD10),410,9.7 ,9.4 ,10.2 ,
Summer 2013,Queens, South Ozone Park and Howard Beach (CD10),410,9.7 ,9.4 ,10.2 ,
Summer 2014,Queens, South Ozone Park and Howard Beach (CD10),410,7.9 ,7.6 ,8.4 ,
Winter 2008-09,Queens, South Ozone Park and Howard Beach (CD10),410,12.6 ,12.0 ,13.2 ,
Winter 2009-10,Queens, South Ozone Park and Howard Beach (CD10),410,9.5 ,9.0 ,10.0 ,
Winter 2010-11,Queens, South Ozone Park and Howard Beach (CD10),410,11.5 ,11.1 ,12.0 ,
Winter 2011-12,Queens, South Ozone Park and Howard Beach (CD10),410,8.2 ,7.7 ,8.7 ,
Winter 2012-13,Queens, South Ozone Park and Howard Beach (CD10),410,9.6 ,9.3 ,10.1 ,
Winter 2013-14,Queens, South Ozone Park and Howard Beach (CD10),410,10.7 ,10.3 ,11.2 ,
Summer 2009,Staten Island, St. George and Stapleton (CD1),501,10.6 ,10.3 ,11.1 ,
Summer 2010,Staten Island, St. George and Stapleton (CD1),501,11.6 ,11.2 ,12.0 ,
Summer 2011,Staten Island, St. George and Stapleton (CD1),501,11.2 ,10.8 ,11.6 ,
Summer 2012,Staten Island, St. George and Stapleton (CD1),501,10.0 ,9.7 ,10.4 ,
Summer 2013,Staten Island, St. George and Stapleton (CD1),501,9.5 ,9.2 ,9.9 ,
Summer 2014,Staten Island, St. George and Stapleton (CD1),501,8.2 ,7.8 ,8.6 ,
Winter 2008-09,Staten Island, St. George and Stapleton (CD1),501,12.1 ,11.6 ,12.9 ,
Winter 2009-10,Staten Island, St. George and Stapleton (CD1),501,9.2 ,8.8 ,9.7 ,
Winter 2010-11,Staten Island, St. George and Stapleton (CD1),501,12.0 ,11.6 ,12.5 ,
Winter 2011-12,Staten Island, St. George and Stapleton (CD1),501,8.4 ,8.0 ,8.9 ,
Winter 2012-13,Staten Island, St. George and Stapleton (CD1),501,9.8 ,9.5 ,10.4 ,
Winter 2013-14,Staten Island, St. George and Stapleton (CD1),501,12.0 ,11.6 ,12.6 ,
Summer 2009,Manhattan, Stuyvesant Town and Turtle Bay (CD6),106,14.2 ,12.2 ,15.9 ,
Summer 2010,Manhattan, Stuyvesant Town and Turtle Bay (CD6),106,14.7 ,13.0 ,16.1 ,
Summer 2011,Manhattan, Stuyvesant Town and Turtle Bay (CD6),106,14.1 ,12.5 ,15.5 ,
Summer 2012,Manhattan, Stuyvesant Town and Turtle Bay (CD6),106,13.2 ,11.5 ,14.8 ,
Summer 2013,Manhattan, Stuyvesant Town and Turtle Bay (CD6),106,13.3 ,11.4 ,15.0 ,
Summer 2014,Manhattan, Stuyvesant Town and Turtle Bay (CD6),106,11.7 ,10.1 ,13.1 ,
Winter 2008-09,Manhattan, Stuyvesant Town and Turtle Bay (CD6),106,16.5 ,14.2 ,18.7 ,
Winter 2009-10,Manhattan, Stuyvesant Town and Turtle Bay (CD6),106,13.0 ,10.3 ,15.6 ,
Winter 2010-11,Manhattan, Stuyvesant Town and Turtle Bay (CD6),106,15.5 ,13.8 ,16.9 ,
Winter 2011-12,Manhattan, Stuyvesant Town and Turtle Bay (CD6),106,12.2 ,10.3 ,14.0 ,
Winter 2012-13,Manhattan, Stuyvesant Town and Turtle Bay (CD6),106,14.0 ,11.8 ,16.0 ,
Winter 2013-14,Manhattan, Stuyvesant Town and Turtle Bay (CD6),106,15.6 ,13.6 ,17.3 ,
Summer 2009,Brooklyn, Sunset Park (CD7),307,11.5 ,10.5 ,12.5 ,
Summer 2010,Brooklyn, Sunset Park (CD7),307,12.5 ,11.6 ,13.6 ,
Summer 2011,Brooklyn, Sunset Park (CD7),307,12.1 ,11.1 ,13.1 ,
Summer 2012,Brooklyn, Sunset Park (CD7),307,10.9 ,10.0 ,11.9 ,
Summer 2013,Brooklyn, Sunset Park (CD7),307,10.7 ,9.8 ,11.7 ,
Summer 2014,Brooklyn, Sunset Park (CD7),307,9.6 ,8.6 ,10.6 ,
Winter 2008-09,Brooklyn, Sunset Park (CD7),307,13.7 ,12.7 ,14.7 ,
Winter 2009-10,Brooklyn, Sunset Park (CD7),307,10.7 ,9.8 ,11.7 ,
Winter 2010-11,Brooklyn, Sunset Park (CD7),307,13.6 ,12.7 ,14.7 ,
Winter 2011-12,Brooklyn, Sunset Park (CD7),307,10.2 ,9.3 ,11.2 ,
Winter 2012-13,Brooklyn, Sunset Park (CD7),307,10.8 ,9.9 ,11.9 ,
Winter 2013-14,Brooklyn, Sunset Park (CD7),307,12.6 ,11.6 ,13.7 ,
Summer 2009,Bronx, Throgs Neck and Co-op City (CD10),210,10.4 ,9.5 ,11.3 ,
Summer 2010,Bronx, Throgs Neck and Co-op City (CD10),210,11.8 ,11.1 ,12.8 ,
Summer 2011,Bronx, Throgs Neck and Co-op City (CD10),210,11.4 ,10.7 ,12.4 ,
Summer 2012,Bronx, Throgs Neck and Co-op City (CD10),210,10.3 ,9.5 ,11.3 ,
Summer 2013,Bronx, Throgs Neck and Co-op City (CD10),210,10.3 ,9.5 ,11.2 ,
Summer 2014,Bronx, Throgs Neck and Co-op City (CD10),210,8.6 ,7.8 ,9.6 ,
Winter 2008-09,Bronx, Throgs Neck and Co-op City (CD10),210,13.0 ,11.9 ,14.1 ,
Winter 2009-10,Bronx, Throgs Neck and Co-op City (CD10),210,9.8 ,8.5 ,10.9 ,
Winter 2010-11,Bronx, Throgs Neck and Co-op City (CD10),210,13.1 ,12.1 ,14.2 ,
Winter 2011-12,Bronx, Throgs Neck and Co-op City (CD10),210,9.1 ,7.9 ,10.1 ,
Winter 2012-13,Bronx, Throgs Neck and Co-op City (CD10),210,10.3 ,9.2 ,11.4 ,
Winter 2013-14,Bronx, Throgs Neck and Co-op City (CD10),210,11.9 ,11.1 ,13.0 ,
Summer 2009,Staten Island, Tottenville and Great Kills (CD3),503,10.4 ,10.1 ,10.8 ,
Summer 2010,Staten Island, Tottenville and Great Kills (CD3),503,11.3 ,11.0 ,11.7 ,
Summer 2011,Staten Island, Tottenville and Great Kills (CD3),503,11.0 ,10.8 ,11.4 ,
Summer 2012,Staten Island, Tottenville and Great Kills (CD3),503,9.8 ,9.6 ,10.2 ,
Summer 2013,Staten Island, Tottenville and Great Kills (CD3),503,9.1 ,8.9 ,9.5 ,
Summer 2014,Staten Island, Tottenville and Great Kills (CD3),503,7.6 ,7.3 ,8.0 ,
Winter 2008-09,Staten Island, Tottenville and Great Kills (CD3),503,11.7 ,10.9 ,12.6 ,
Winter 2009-10,Staten Island, Tottenville and Great Kills (CD3),503,9.1 ,8.5 ,9.8 ,
Winter 2010-11,Staten Island, Tottenville and Great Kills (CD3),503,11.5 ,11.0 ,12.2 ,
Winter 2011-12,Staten Island, Tottenville and Great Kills (CD3),503,8.6 ,7.7 ,9.6 ,
Winter 2012-13,Staten Island, Tottenville and Great Kills (CD3),503,9.6 ,9.3 ,10.1 ,
Winter 2013-14,Staten Island, Tottenville and Great Kills (CD3),503,11.6 ,11.2 ,12.1 ,
Summer 2009,Manhattan, Upper East Side (CD8),108,12.9 ,11.7 ,13.9 ,
Summer 2010,Manhattan, Upper East Side (CD8),108,13.7 ,12.7 ,14.5 ,
Summer 2011,Manhattan, Upper East Side (CD8),108,13.1 ,12.2 ,14.0 ,
Summer 2012,Manhattan, Upper East Side (CD8),108,12.2 ,11.1 ,13.1 ,
Summer 2013,Manhattan, Upper East Side (CD8),108,12.2 ,11.1 ,13.1 ,
Summer 2014,Manhattan, Upper East Side (CD8),108,10.5 ,9.4 ,11.3 ,
Winter 2008-09,Manhattan, Upper East Side (CD8),108,15.3 ,13.9 ,16.4 ,
Winter 2009-10,Manhattan, Upper East Side (CD8),108,11.9 ,10.2 ,13.2 ,
Winter 2010-11,Manhattan, Upper East Side (CD8),108,14.7 ,13.6 ,15.5 ,
Winter 2011-12,Manhattan, Upper East Side (CD8),108,11.3 ,10.1 ,12.2 ,
Winter 2012-13,Manhattan, Upper East Side (CD8),108,13.1 ,11.8 ,14.1 ,
Winter 2013-14,Manhattan, Upper East Side (CD8),108,14.4 ,13.2 ,15.4 ,
Summer 2009,Manhattan, Upper West Side (CD7),107,12.1 ,11.7 ,12.5 ,
Summer 2010,Manhattan, Upper West Side (CD7),107,13.0 ,12.7 ,13.3 ,
Summer 2011,Manhattan, Upper West Side (CD7),107,12.5 ,12.1 ,12.8 ,
Summer 2012,Manhattan, Upper West Side (CD7),107,11.4 ,11.1 ,11.7 ,
Summer 2013,Manhattan, Upper West Side (CD7),107,11.4 ,11.0 ,11.7 ,
Summer 2014,Manhattan, Upper West Side (CD7),107,9.8 ,9.4 ,10.2 ,
Winter 2008-09,Manhattan, Upper West Side (CD7),107,14.7 ,14.2 ,15.1 ,
Winter 2009-10,Manhattan, Upper West Side (CD7),107,11.2 ,10.6 ,11.9 ,
Winter 2010-11,Manhattan, Upper West Side (CD7),107,14.3 ,14.0 ,14.7 ,
Winter 2011-12,Manhattan, Upper West Side (CD7),107,10.8 ,10.3 ,11.2 ,
Winter 2012-13,Manhattan, Upper West Side (CD7),107,12.6 ,12.2 ,12.9 ,
Winter 2013-14,Manhattan, Upper West Side (CD7),107,13.8 ,13.4 ,14.1 ,
Summer 2009,Manhattan, Washington Heights and Inwood (CD12),112,11.0 ,10.3 ,12.0 ,
Summer 2010,Manhattan, Washington Heights and Inwood (CD12),112,12.3 ,11.7 ,13.2 ,
Summer 2011,Manhattan, Washington Heights and Inwood (CD12),112,11.7 ,11.1 ,12.6 ,
Summer 2012,Manhattan, Washington Heights and Inwood (CD12),112,10.6 ,10.0 ,11.5 ,
Summer 2013,Manhattan, Washington Heights and Inwood (CD12),112,10.5 ,9.8 ,11.4 ,
Summer 2014,Manhattan, Washington Heights and Inwood (CD12),112,8.9 ,8.4 ,9.8 ,
Winter 2008-09,Manhattan, Washington Heights and Inwood (CD12),112,15.1 ,14.5 ,16.1 ,
Winter 2009-10,Manhattan, Washington Heights and Inwood (CD12),112,12.2 ,11.5 ,13.3 ,
Winter 2010-11,Manhattan, Washington Heights and Inwood (CD12),112,14.6 ,14.1 ,15.6 ,
Winter 2011-12,Manhattan, Washington Heights and Inwood (CD12),112,11.0 ,10.2 ,12.0 ,
Winter 2012-13,Manhattan, Washington Heights and Inwood (CD12),112,12.1 ,11.3 ,13.1 ,
Winter 2013-14,Manhattan, Washington Heights and Inwood (CD12),112,12.9 ,12.3 ,13.8 ,
Summer 2009,Bronx, Williamsbridge and Baychester (CD12),212,10.2 ,9.9 ,10.8 ,
Summer 2010,Bronx, Williamsbridge and Baychester (CD12),212,11.8 ,11.4 ,12.3 ,
Summer 2011,Bronx, Williamsbridge and Baychester (CD12),212,11.3 ,11.0 ,11.9 ,
Summer 2012,Bronx, Williamsbridge and Baychester (CD12),212,10.1 ,9.8 ,10.8 ,
Summer 2013,Bronx, Williamsbridge and Baychester (CD12),212,10.1 ,9.7 ,10.7 ,
Summer 2014,Bronx, Williamsbridge and Baychester (CD12),212,8.6 ,8.3 ,9.3 ,
Winter 2008-09,Bronx, Williamsbridge and Baychester (CD12),212,13.7 ,13.3 ,14.1 ,
Winter 2009-10,Bronx, Williamsbridge and Baychester (CD12),212,10.3 ,9.9 ,10.8 ,
Winter 2010-11,Bronx, Williamsbridge and Baychester (CD12),212,13.3 ,13.0 ,13.8 ,
Winter 2011-12,Bronx, Williamsbridge and Baychester (CD12),212,8.9 ,8.5 ,9.5 ,
Winter 2012-13,Bronx, Williamsbridge and Baychester (CD12),212,10.6 ,10.3 ,11.0 ,
Winter 2013-14,Bronx, Williamsbridge and Baychester (CD12),212,12.2 ,11.9 ,12.7 ,
Summer 2009,Queens, Woodside and Sunnyside (CD2),402,12.1 ,11.0 ,13.5 ,
Summer 2010,Queens, Woodside and Sunnyside (CD2),402,13.3 ,12.2 ,14.7 ,
Summer 2011,Queens, Woodside and Sunnyside (CD2),402,12.8 ,11.7 ,14.2 ,
Summer 2012,Queens, Woodside and Sunnyside (CD2),402,11.7 ,10.6 ,13.0 ,
Summer 2013,Queens, Woodside and Sunnyside (CD2),402,11.6 ,10.5 ,12.9 ,
Summer 2014,Queens, Woodside and Sunnyside (CD2),402,10.2 ,8.9 ,11.6 ,
Winter 2008-09,Queens, Woodside and Sunnyside (CD2),402,14.2 ,13.1 ,15.4 ,
Winter 2009-10,Queens, Woodside and Sunnyside (CD2),402,10.2 ,9.3 ,11.4 ,
Winter 2010-11,Queens, Woodside and Sunnyside (CD2),402,14.0 ,12.8 ,15.3 ,
Winter 2011-12,Queens, Woodside and Sunnyside (CD2),402,10.3 ,9.2 ,11.6 ,
Winter 2012-13,Queens, Woodside and Sunnyside (CD2),402,11.7 ,10.6 ,13.1 ,
Winter 2013-14,Queens, Woodside and Sunnyside (CD2),402,13.5 ,12.3 ,14.9 ,
